Date,Open,High,Low,Close,detail,dt_percent,Volume
2023:5:12,2015.03,2022.58,2000.96,2011.025,-4.005,-20.0,98231.0
2023:5:11,2029.74,2041.39,2011.185,2015.03,-14.71,-72.0,112821.0
2023:5:10,2034.535,2048.245,2021.565,2029.74,-4.795,-24.0,90192.0
2023:5:9,2021.355,2037.655,2019.55,2034.535,13.18,65.0,63973.0
2023:5:8,2016.79,2029.4,2014.305,2021.355,4.565,23.0,57904.0
2023:5:5,2050.31,2053.045,1999.585,2016.79,-33.52,-163.0,99893.0
2023:5:4,2039.565,2067.0,2030.39,2050.31,10.745,53.0,158198.0
2023:5:3,2016.6,2040.495,2008.025,2039.565,22.965,113.99999999999999,88496.0
2023:5:2,1982.55,2019.455,1978.52,2016.6,34.05,172.0,81795.0
2023:5:1,1989.535,2006.07,1977.12,1982.55,-6.985,-35.0,92283.0
2023:4:28,1987.8,1995.14,1976.265,1989.535,1.735,9.0,91849.0
2023:4:27,1989.235,2003.415,1974.115,1987.8,-1.435,-7.000000000000001,90833.0
2023:4:26,1997.04,2009.45,1983.375,1989.235,-7.805,-39.0,102567.0
2023:4:25,1989.05,2003.89,1976.185,1997.04,7.99,40.0,83782.0
2023:4:24,1982.92,1990.845,1974.155,1989.05,6.13,31.0,52264.0
2023:4:21,2004.605,2005.62,1971.695,1982.92,-21.685,-108.0,68455.0
2023:4:20,1994.75,2012.445,1990.565,2004.605,9.855,49.0,54408.0
2023:4:19,2005.075,2008.255,1969.305,1994.75,-10.325,-51.0,51668.0
2023:4:18,1995.055,2011.89,1991.32,2005.075,10.02,50.0,49962.0
2023:4:17,2004.275,2015.075,1981.19,1995.055,-9.22,-46.0,61121.0
2023:4:14,2040.46,2047.505,1992.5,2004.275,-36.185,-177.0,71842.0
2023:4:13,2014.95,2048.77,2014.175,2040.46,25.51,127.0,54462.0
2023:4:12,2003.64,2028.4,2001.22,2014.95,11.31,56.00000000000001,66829.0
2023:4:11,1991.195,2007.495,1988.875,2003.64,12.445,63.0,40748.0
2023:4:10,2007.86,2007.86,1981.68,1991.195,-16.665,-83.0,66635.0
2023:4:7,2020.65,2021.485,2000.89,2007.86,-12.79,-63.0,49143.0
2023:4:6,2020.465,2032.11,2010.09,2020.65,0.185,1.0,50955.0
2023:4:5,1984.385,2025.07,1977.035,2020.465,36.08,182.0,52318.0
2023:4:4,1969.31,1990.545,1949.81,1984.385,15.075,77.0,66546.0
2023:4:3,1980.425,1987.645,1966.935,1969.31,-11.115,-56.00000000000001,45696.0
2023:3:31,1964.505,1984.365,1955.41,1980.425,15.92,81.0,44014.0
2023:3:30,1974.035,1974.46,1958.755,1964.505,-9.53,-48.0,42937.0
2023:3:29,1956.45,1975.365,1949.245,1974.035,17.585,90.0,51915.0
2023:3:28,1978.965,1978.965,1944.045,1956.45,-22.515,-113.99999999999999,67400.0
2023:3:27,1993.495,2003.08,1975.325,1978.965,-14.53,-73.0,104846.0
2023:3:24,1970.015,2003.36,1964.615,1993.495,23.48,119.0,90866.0
2023:3:23,1940.52,1978.915,1934.345,1970.015,29.495,152.0,95641.0
2023:3:22,1978.975,1985.22,1935.465,1940.52,-38.455,-194.0,80572.0
2023:3:21,1988.305,2009.85,1965.99,1978.975,-9.33,-47.0,138288.0
2023:3:20,1919.34,1988.335,1918.305,1988.305,68.965,359.0,95813.0
2023:3:17,1918.73,1933.54,1907.56,1919.34,0.61,3.0,93255.0
2023:3:16,1903.865,1937.39,1885.79,1918.73,14.865,78.0,131026.00000000001
2023:3:15,1913.63,1914.225,1895.435,1903.865,-9.765,-51.0,83404.0
2023:3:14,1867.035,1914.695,1867.035,1913.63,46.595,250.0,131039.99999999999
2023:3:13,1830.915,1870.245,1827.815,1867.035,36.12,197.0,70998.0
