Date,Open,High,Low,Close,detail,dt_percent,Volume
2021:7:16,1808.465,1810.956,1791.645,1806.145,-2.32,-13.0,37374.0
2021:7:15,1802.495,1812.445,1796.74,1808.465,5.97,33.0,38768.0
2021:7:14,1803.716,1818.54,1794.215,1802.495,-1.221,-7.000000000000001,60545.0
2021:7:13,1797.21,1809.89,1793.995,1803.716,6.506,36.0,47696.0
2021:7:12,1791.97,1815.046,1790.15,1797.21,5.24,28.999999999999996,55843.0
2021:7:9,1787.45,1794.745,1784.52,1791.97,4.52,25.0,19257.0
2021:7:8,1776.655,1795.1,1774.356,1787.45,10.795,61.0,53927.0
2021:7:7,1770.45,1782.89,1765.74,1776.655,6.205,35.0,43395.0
2021:7:6,1761.086,1774.45,1753.44,1770.45,9.364,53.0,43203.0
2021:7:5,1778.26,1779.034,1750.74,1761.086,-17.174,-97.0,50769.0
2021:7:2,1781.646,1785.83,1770.78,1778.26,-3.386,-19.0,38333.0
2021:7:1,1774.98,1790.446,1773.795,1781.646,6.666,38.0,38444.0
2021:6:30,1779.05,1788.04,1772.875,1774.98,-4.07,-23.0,39277.0
2021:6:29,1778.865,1794.985,1773.33,1779.05,0.185,1.0,46336.0
2021:6:28,1782.995,1790.2,1772.39,1778.865,-4.13,-23.0,51060.0
2021:6:25,1764.235,1786.625,1764.235,1782.995,18.76,106.0,65230.00000000001
2021:6:24,1773.37,1797.316,1761.04,1764.235,-9.135,-52.0,84687.0
2021:6:23,1812.055,1825.326,1767.295,1773.37,-38.685,-213.0,104751.0
2021:6:22,1858.82,1863.32,1803.636,1812.055,-46.765,-252.0,70418.0
2021:6:21,1866.14,1869.205,1851.665,1858.82,-7.32,-39.0,44111.0
2021:6:18,1877.82,1878.08,1844.63,1866.14,-11.68,-62.0,54411.0
2021:6:17,1898.445,1903.12,1874.54,1877.82,-20.625,-109.00000000000001,48133.0
2021:6:16,1888.685,1899.99,1869.945,1898.445,9.76,52.0,55458.0
2021:6:15,1892.94,1899.076,1887.435,1888.685,-4.255,-22.0,36216.0
2021:6:14,1899.14,1903.93,1883.785,1892.94,-6.2,-33.0,43086.0
2021:6:11,1891.395,1900.196,1881.606,1899.14,7.745,41.0,36588.0
2021:6:10,1870.545,1896.24,1856.04,1891.395,20.85,111.00000000000001,55936.0
2021:6:9,1908.35,1909.69,1865.36,1870.545,-37.805,-198.0,63833.0
2021:6:8,1900.24,1909.14,1894.455,1908.35,8.11,43.0,35944.0
2021:6:7,1906.676,1916.615,1892.445,1900.24,-6.436,-34.0,44722.0
2021:6:4,1903.456,1910.655,1902.19,1906.676,3.22,17.0,20511.0
2021:6:3,1896.672,1906.12,1882.25,1903.456,6.784,36.0,48243.0
2021:6:2,1896.68,1903.706,1888.315,1896.672,-0.008,-0.0,48615.0
2021:6:1,1899.17,1912.785,1890.74,1896.68,-2.49,-13.0,50768.0
2021:5:31,1880.68,1900.3,1872.755,1899.17,18.49,98.0,50957.0
2021:5:28,1881.245,1887.07,1875.2,1880.68,-0.565,-3.0,38364.0
2021:5:27,1877.04,1889.42,1870.19,1881.245,4.205,22.0,47442.0
2021:5:26,1869.515,1883.985,1863.955,1877.04,7.525,40.0,49061.0
2021:5:25,1869.5,1890.145,1852.23,1869.515,0.015,0.0,83611.0
2021:5:24,1866.955,1875.04,1863.285,1869.5,2.545,14.000000000000002,42633.0
2021:5:21,1843.165,1868.525,1842.02,1866.955,23.79,129.0,42685.0
2021:5:20,1826.525,1846.296,1819.845,1843.165,16.64,91.0,46020.0
2021:5:19,1815.55,1828.835,1808.866,1826.525,10.975,60.0,58234.0
2021:5:18,1837.485,1843.716,1813.41,1815.55,-21.935,-119.0,75255.0
2021:5:17,1835.69,1841.845,1818.022,1837.485,1.795,10.0,91407.0
2021:5:14,1831.355,1845.54,1830.068,1835.69,4.335,24.0,97770.0
2021:5:13,1815.08,1843.4,1812.91,1831.355,16.275,90.0,108227.0
2021:5:12,1786.935,1818.13,1782.048,1815.08,28.145,158.0,67240.0
2021:5:11,1778.85,1788.03,1770.444,1786.935,8.085,45.0,51855.0
2021:5:10,1793.725,1799.16,1770.96,1778.85,-14.875,-83.0,63203.0
2021:5:7,1771.945,1798.07,1766.29,1793.725,21.78,123.0,44144.0
2021:5:6,1772.0,1773.745,1764.31,1771.945,-0.055,-0.0,48482.0
2021:5:5,1781.69,1790.03,1756.132,1772.0,-9.69,-54.0,54648.0
2021:5:4,1776.66,1782.575,1762.763,1781.69,5.03,28.000000000000004,54666.0
2021:5:3,1781.376,1785.656,1773.823,1776.66,-4.716,-26.0,39760.0
2021:4:30,1777.35,1783.56,1768.85,1781.376,4.026,23.0,41651.0
2021:4:29,1784.22,1796.046,1770.125,1777.35,-6.87,-39.0,46663.0
2021:4:28,1793.69,1797.934,1777.473,1784.22,-9.47,-53.0,49256.0
2021:4:27,1778.82,1797.724,1776.315,1793.69,14.87,84.0,44414.0
2021:4:26,1771.546,1780.512,1763.72,1778.82,7.274,41.0,49129.0
2021:4:23,1776.68,1790.104,1766.826,1771.546,-5.134,-28.999999999999996,55947.0
2021:4:22,1763.8,1783.898,1759.915,1776.68,12.88,73.0,50014.0
2021:4:21,1736.45,1769.662,1734.49,1763.8,27.35,158.0,50384.0
2021:4:20,1745.45,1749.56,1732.655,1736.45,-9.0,-52.0,46614.0
2021:4:19,1732.91,1749.0,1723.792,1745.45,12.54,72.0,54392.0
2021:4:16,1743.775,1745.078,1727.5,1732.91,-10.865,-62.0,46146.0
2021:4:15,1755.61,1757.435,1731.275,1743.775,-11.835,-67.0,51687.0
2021:4:14,1737.765,1758.724,1733.26,1755.61,17.845,103.0,46363.0
2021:4:13,1743.52,1744.46,1730.73,1737.765,-5.755,-33.0,44499.0
2021:4:12,1728.3,1745.445,1727.305,1743.52,15.22,88.0,45726.0
2021:4:9,1729.88,1733.65,1721.366,1728.3,-1.58,-9.0,43118.0
2021:4:8,1707.475,1730.64,1705.867,1729.88,22.405,131.0,52929.0
2021:4:7,1684.81,1715.284,1677.954,1707.475,22.665,135.0,61734.0
2021:4:6,1711.976,1714.446,1678.778,1684.81,-27.166,-159.0,65458.0
2021:4:5,1732.77,1733.371,1705.795,1711.976,-20.794,-120.0,46306.0
2021:4:2,1726.655,1736.76,1721.695,1732.77,6.115,35.0,44533.0
2021:4:1,1734.24,1745.532,1721.844,1726.655,-7.585,-44.0,58805.0
2021:3:31,1727.006,1738.615,1723.894,1734.24,7.234,42.0,43193.0
2021:3:30,1738.92,1742.602,1724.755,1727.006,-11.914,-69.0,52516.0
2021:3:29,1745.054,1747.046,1727.345,1738.92,-6.134,-35.0,51497.0
2021:3:26,1736.434,1746.77,1728.54,1745.054,8.62,50.0,64578.99999999999
2021:3:25,1745.355,1755.565,1719.25,1736.434,-8.921,-51.0,81141.0
2021:3:24,1731.69,1751.7,1724.066,1745.355,13.665,79.0,62891.0
2021:3:23,1731.756,1741.196,1726.205,1731.69,-0.066,-0.0,48361.0
2021:3:22,1726.965,1734.583,1721.718,1731.756,4.791,28.000000000000004,52935.0
2021:3:19,1722.625,1729.386,1699.224,1726.965,4.34,25.0,70543.0
2021:3:18,1726.745,1739.89,1719.325,1722.625,-4.12,-24.0,58832.0
2021:3:17,1715.895,1726.845,1708.284,1726.745,10.85,63.0,64709.99999999999
2021:3:16,1683.494,1720.682,1680.25,1715.895,32.401,192.0,72499.0
2021:3:15,1703.12,1714.45,1676.866,1683.494,-19.626,-114.99999999999999,63396.0
2021:3:12,1697.635,1707.84,1687.29,1703.12,5.485,32.0,90872.0
2021:3:11,1710.915,1723.27,1690.525,1697.635,-13.28,-78.0,115520.0
2021:3:10,1738.348,1741.02,1701.964,1710.915,-27.433,-158.0,80651.0
2021:3:9,1724.94,1739.19,1707.336,1738.348,13.408,78.0,99689.0
2021:3:8,1734.375,1759.95,1719.78,1724.94,-9.435,-54.0,87880.0
2021:3:5,1770.55,1775.904,1717.27,1734.375,-36.175,-204.0,153253.0
2021:3:4,1805.045,1805.53,1765.546,1770.55,-34.495,-191.0,141770.0
2021:3:3,1805.88,1813.966,1783.65,1805.045,-0.835,-5.0,84820.0
2021:3:2,1809.9,1816.1,1795.704,1805.88,-4.02,-22.0,81239.0
2021:3:1,1784.185,1812.722,1780.78,1809.9,25.715,144.0,79193.0
2021:2:26,1775.865,1791.696,1760.754,1784.185,8.32,47.0,81885.0
2021:2:25,1776.305,1789.69,1768.47,1775.865,-0.44,-2.0,72463.0
2021:2:24,1794.436,1795.158,1769.526,1776.305,-18.131,-101.0,83795.0
2021:2:23,1818.776,1826.5,1789.576,1794.436,-24.34,-134.0,82041.0
2021:2:22,1824.4,1827.1,1816.065,1818.776,-5.624,-31.0,24588.0
2021:2:19,1825.64,1830.816,1810.605,1824.4,-1.24,-7.000000000000001,50213.0
2021:2:18,1843.385,1847.574,1821.18,1825.64,-17.745,-96.0,49614.0
2021:2:17,1838.77,1855.455,1834.175,1843.385,4.615,25.0,59347.0
2021:2:16,1830.765,1848.63,1828.93,1838.77,8.005,44.0,55744.0
2021:2:15,1814.2,1839.23,1807.865,1830.765,16.565,91.0,54930.0
2021:2:12,1793.995,1815.2,1792.13,1814.2,20.205,112.99999999999999,65713.0
2021:2:11,1834.07,1834.82,1785.02,1793.995,-40.075,-219.0,86653.0
