Date,Open,High,Low,Close,detail,dt_percent,Volume
2023:07:21,1961.95,1967.905,1953.475,1954.715,-7.235,-37,147897
2023:07:20,1969.55,1973.85,1956.905,1961.95,-7.6,-39,144222
2023:07:19,1977.15,1987.53,1965.39,1969.55,-7.6,-38,168774
2023:07:18,1978.92,1980.995,1969.81,1977.15,-1.77,-9,160240
2023:07:17,1954.98,1984.425,1954.65,1978.92,23.94,122,180348
2023:07:14,1955.435,1959.91,1945.84,1954.98,-0.455,-2,141677
2023:07:13,1960.64,1963.795,1950.99,1955.435,-5.205,-27,172146
2023:07:12,1957.54,1963.735,1952.47,1960.64,3.1,16,77345
2023:07:11,1932.505,1959.75,1932.315,1957.54,25.035,130,75985
2023:07:10,1925.44,1938.495,1924.42,1932.505,7.065,37,71828
2023:07:07,1925.565,1928.28,1912.75,1925.44,-0.125,-1,70937
2023:07:06,1910.975,1934.935,1909.62,1925.565,14.59,76,94162
2023:07:05,1915.12,1927.665,1902.745,1910.975,-4.145,-22,88195
2023:07:04,1925.875,1935.05,1914.855,1915.12,-10.755,-56,64898
2023:07:03,1921.525,1930.765,1920.005,1925.875,4.35,23,37517
2023:06:30,1919.525,1931.085,1910.08,1921.525,2,10,58322
2023:06:29,1908.065,1922.78,1900.605,1919.525,11.46,60,71833
2023:06:28,1907.535,1913.18,1893.07,1908.065,0.53,3,80916
2023:06:27,1913.68,1917.285,1902.87,1907.535,-6.145,-32,61344
2023:06:26,1923.15,1930.73,1910.89,1913.68,-9.47,-49,63008
2023:06:23,1921.265,1933.395,1921.265,1923.15,1.885,10,48009
2023:06:22,1913.835,1937.305,1910.21,1921.265,7.43,39,64345
2023:06:21,1932.51,1935.005,1912.465,1913.835,-18.675,-97,67665
2023:06:20,1936.255,1939.575,1919.245,1932.51,-3.745,-19,58919
2023:06:19,1950.42,1956.84,1929.82,1936.255,-14.165,-73,77044
2023:06:16,1957.555,1958.81,1947.84,1950.42,-7.135,-36,41354
2023:06:15,1958.005,1967.92,1953.32,1957.555,-0.45,-2,50018
2023:06:14,1941.255,1960.31,1925.04,1958.005,16.75,86,86479
2023:06:13,1943.6,1960.31,1939.755,1941.255,-2.345,-12,74771
2023:06:12,1957.605,1971.21,1940.095,1943.6,-14.005,-72,78621
2023:06:09,1960.745,1967.015,1949.28,1957.605,-3.14,-16,68616
2023:06:08,1965.47,1973.16,1956.665,1960.745,-4.725,-24,50155
2023:06:07,1940.01,1970.54,1940.01,1965.47,25.46,131,50107
2023:06:06,1963.285,1970.22,1939.955,1940.01,-23.275,-119,51978
2023:06:05,1961.7,1966.385,1954.395,1963.285,1.585,8,49756
2023:06:02,1948.1,1964.055,1938.15,1961.7,13.6,70,57157
2023:06:01,1977.54,1983.505,1947.68,1948.1,-29.44,-149,62360
2023:05:31,1962.615,1983.18,1953.445,1977.54,14.925,76,66617
2023:05:30,1959.48,1974.835,1953.7,1962.615,3.135,16,69234
2023:05:29,1943.12,1963.55,1932.11,1959.48,16.36,84,75804
2023:05:26,1946.93,1949.77,1940.385,1943.12,-3.81,-20,37313
2023:05:25,1940.595,1957.36,1936.815,1946.93,6.335,33,70979
2023:05:24,1957.225,1964.785,1938.915,1940.595,-16.63,-85,71543
2023:05:23,1975.115,1985.39,1956.77,1957.225,-17.89,-91,78959
2023:05:22,1971.72,1977.805,1954.3,1975.115,3.395,17,77592
2023:05:19,1977.895,1982.67,1968.905,1971.72,-6.175,-31,72635
2023:05:18,1957.685,1984.325,1954.13,1977.895,20.21,103,106304
2023:05:17,1982.01,1986.07,1952.01,1957.685,-24.325,-123,95953
2023:05:16,1988.885,1993.12,1975.095,1982.01,-6.875,-35,67870
2023:05:15,2016.365,2018.39,1985.53,1988.885,-27.48,-136,90207
2023:05:12,2011.025,2022.115,2007.845,2016.365,5.34,27,70894
2023:05:11,2015.03,2022.58,2000.96,2011.025,-4.005,-20,98231
2023:05:10,2029.74,2041.39,2011.185,2015.03,-14.71,-72,112821
